Fish.number,Fish.ID,Feed.Type,Size.class,Live.Weight.kg,Gutted.Weight.kg,Fork.Length.cm,Sex,Cestode.index,Cestode.present,Included.in.cestode.study,Sampling.Date,Cage
429,F429,BioMar,Large,7.10,6.31,79.5,M,0,FALSE,FALSE,13apr.18,7
430,F430,BioMar,Large,6.25,5.42,72.5,M,2,TRUE,FALSE,13apr.18,7
431,F431,BioMar,Medium,4.72,4.14,73.5,M,2,TRUE,FALSE,13apr.18,7
432,F432,BioMar,Large,5.74,4.93,73.0,M,1,TRUE,FALSE,13apr.18,7
433,F433,BioMar,Large,5.73,4.81,72.5,M,2,TRUE,FALSE,13apr.18,7
434,F434,BioMar,Large,6.57,5.59,80.0,M,0,FALSE,FALSE,13apr.18,7
435,F435,BioMar,Medium,4.42,3.77,71.0,M,0,FALSE,FALSE,13apr.18,7
436,F436,BioMar,Large,6.48,5.61,76.5,M,1,TRUE,FALSE,13apr.18,7
437,F437,BioMar,Large,6.54,5.64,75.0,M,0,FALSE,FALSE,13apr.18,7
438,F438,BioMar,Large,5.90,5.17,77.0,M,1,TRUE,FALSE,13apr.18,7
439,F439,BioMar,Medium,4.90,4.15,70.0,M,1,TRUE,FALSE,13apr.18,7
440,F440,BioMar,Large,5.01,4.29,71.0,M,0,FALSE,FALSE,13apr.18,7
441,F441,BioMar,Large,4.95,4.38,74.0,M,1,TRUE,FALSE,13apr.18,7
442,F442,BioMar,Large,7.20,6.17,80.0,M,2,TRUE,FALSE,13apr.18,7
443,F443,BioMar,Large,5.01,4.33,70.0,M,1,TRUE,FALSE,13apr.18,7
444,F444,BioMar,Large,4.99,4.22,74.0,M,2,TRUE,FALSE,13apr.18,7
445,F445,BioMar,Small,1.33,1.11,52.5,M,3,TRUE,FALSE,13apr.18,7
446,F446,BioMar,Large,5.83,5.11,76.0,M,0,FALSE,FALSE,13apr.18,7
447,F447,BioMar,Large,5.23,4.50,72.5,M,0,FALSE,FALSE,13apr.18,7
448,F448,BioMar,Small,1.78,1.58,58.0,M,1,TRUE,FALSE,13apr.18,7
449,F449,BioMar,Large,5.64,4.94,73.0,M,1,TRUE,FALSE,13apr.18,7
450,F450,BioMar,Small,1.85,1.65,60.0,M,1,TRUE,FALSE,13apr.18,7
451,F451,BioMar,Large,5.62,4.84,74.0,M,2,TRUE,FALSE,13apr.18,7
452,F452,BioMar,Large,5.48,4.75,73.0,M,3,TRUE,FALSE,13apr.18,7
453,F453,BioMar,Large,5.73,4.96,76.0,M,2,TRUE,FALSE,13apr.18,7
454,F454,BioMar,Large,5.00,4.32,72.0,M,3,TRUE,FALSE,13apr.18,7
455,F455,BioMar,Large,5.78,5.00,75.0,M,3,TRUE,FALSE,13apr.18,7
456,F456,BioMar,Small,2.17,1.98,58.5,F,0,FALSE,FALSE,13apr.18,7
457,F457,BioMar,Small,1.23,1.04,52.0,F,3,TRUE,FALSE,13apr.18,7
458,F458,BioMar,Small,1.36,1.12,51.0,M,3,TRUE,FALSE,13apr.18,7
459,F459,BioMar,Small,1.17,0.96,52.0,M,3,TRUE,FALSE,13apr.18,7
460,F460,BioMar,Medium,4.60,4.00,64.0,M,2,TRUE,FALSE,13apr.18,7
461,F461,BioMar,Medium,4.52,3.89,69.5,F,2,TRUE,FALSE,13apr.18,7
462,F462,BioMar,Medium,4.84,4.11,68.0,F,2,TRUE,FALSE,13apr.18,7
463,F463,BioMar,Medium,4.87,4.10,69.0,M,2,TRUE,FALSE,13apr.18,7
