feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Mycoplasma	Cestode.present	TRUE	-0.264432265892818	0.102631917601987	30	30	0.0165592869851627	0.248480705769484
Mycoplasma	Sex	M	0.258248723973724	0.106289204326089	30	30	0.0229641197342277	0.248480705769484
Brevinema	Cestode.present	TRUE	-0.0409899727965637	0.0140741249445489	30	13	0.00763361742948333	0.248480705769484
Brevinema	Size.class	.Q	0.0244998379602874	0.0105043744464877	30	13	0.0283977949450838	0.248480705769484
