feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
seq3	Cestode.present	TRUE	-0.200615286708114	0.0579714802580215	30	28	0.00203079701944106	0.32492752311057
seq44	Sex	M	-0.00943048774295077	0.00298417134483914	30	4	0.00422877416901841	0.338301933521473
seq19	Cestode.present	TRUE	-0.0409899727965637	0.0140741249445489	30	13	0.00763361742948333	0.375170183477271
seq36	Feed.Type	Feed2	-0.00944734904498639	0.00346293740249789	30	7	0.0117240682336647	0.375170183477271
seq36	Sex	M	-0.0107662510412309	0.00391320660510894	30	7	0.011115441604979	0.375170183477271
seq1	Size.class	.L	0.116695697277413	0.0682493724954752	30	21	0.100785513589662	0.435718917544472
seq2	Sex	M	0.209552712457046	0.0987214319374155	30	29	0.0442934961254002	0.435718917544472
seq3	Size.class	.L	-0.0785125613571758	0.0487390380415239	30	28	0.120281886911058	0.435718917544472
seq5	Size.class	.Q	-0.0178203243910782	0.00932074831842759	30	12	0.0678995841147924	0.435718917544472
seq6	Cestode.present	TRUE	0.132519011908752	0.0772546872856197	30	24	0.0991653977411444	0.435718917544472
seq6	Size.class	.Q	-0.0949188659252162	0.0576598663285826	30	24	0.112759732943052	0.435718917544472
seq7	Feed.Type	Feed2	-0.00579212414258328	0.00303632921828751	30	10	0.0684776681598836	0.435718917544472
seq7	Size.class	.L	0.0045208149865126	0.00278543383315933	30	10	0.117649001438451	0.435718917544472
seq10	Cestode.present	TRUE	0.00624301497114139	0.0038180702915306	30	5	0.115072960645533	0.435718917544472
seq14	Sex	M	-0.0201843114047843	0.0111862979579709	30	17	0.0837374145053003	0.435718917544472
seq14	Size.class	.Q	-0.0135661646526916	0.00806173397175456	30	17	0.105383092776526	0.435718917544472
seq19	Size.class	.Q	0.0244998379602874	0.0105043744464877	30	13	0.0283977949450838	0.435718917544472
seq20	Cestode.present	TRUE	0.0141393066870713	0.00651209042509188	30	10	0.0400256174933757	0.435718917544472
seq20	Feed.Type	Feed2	-0.0127939556556598	0.00596813994422021	30	10	0.0423967796935554	0.435718917544472
seq20	Sex	M	-0.0139057640749251	0.00674414866208408	30	10	0.0502050456325059	0.435718917544472
seq25	Sex	M	-0.0317171128706611	0.0149859365247503	30	6	0.0448674749823797	0.435718917544472
seq25	Size.class	.Q	-0.0200485016685984	0.0108000550346553	30	6	0.0757246401873891	0.435718917544472
seq29	Size.class	.L	-0.00140764012495453	0.000834940706808628	30	14	0.104771301570391	0.435718917544472
seq32	Sex	M	-0.0121029103199038	0.0072683327846022	30	15	0.108883834620976	0.435718917544472
seq32	Size.class	.Q	-0.00842326077979577	0.00523813736660684	30	15	0.120898540333528	0.435718917544472
seq41	Sex	M	-0.00982077578124738	0.00474971337464016	30	10	0.0496163553454319	0.435718917544472
seq41	Size.class	.Q	-0.00595513478144228	0.00342302036047138	30	10	0.0947172627200671	0.435718917544472
